target_user_id,label
25,anxious
26,anxious
27,composed
30,composed
36,composed
47,composed
59,composed
63,composed
73,composed
83,composed
100,anxious
114,composed
116,anxious
124,composed
128,composed
146,composed
151,anxious
154,anxious
155,composed
156,composed
174,composed
181,composed
183,composed
185,composed
187,anxious
190,composed
192,anxious
203,composed
207,composed
218,anxious
221,composed
222,anxious
233,composed
241,composed
248,composed
249,anxious
253,composed
256,composed
258,composed
272,anxious
282,composed
289,composed
291,composed
303,composed
309,anxious
310,anxious
319,anxious
320,composed
324,composed
330,composed
337,anxious
350,composed
355,composed
363,anxious
368,composed
380,composed
381,composed
391,composed
393,composed
397,anxious
413,composed
414,composed
415,composed
421,anxious
423,anxious
427,composed
428,composed
435,composed
438,anxious
445,anxious
453,composed
454,anxious
460,anxious
466,anxious
467,anxious
472,composed
475,composed
478,composed
480,composed
482,anxious
489,composed
492,composed
510,composed
516,anxious
517,composed
520,composed
524,composed
529,composed
533,anxious
544,anxious
546,composed
549,composed
551,composed
564,anxious
573,anxious
575,composed
579,anxious
585,composed
587,composed
594,composed
596,composed
599,anxious
601,composed
604,anxious
607,anxious
612,composed
616,anxious
618,anxious
625,composed
627,composed
633,anxious
642,composed
644,anxious
652,composed
657,composed
663,composed
671,composed
672,composed
673,anxious
678,anxious
685,composed
700,composed
704,composed
705,composed
706,anxious
712,composed
726,composed
727,composed
729,anxious
732,anxious
738,composed
743,anxious
745,anxious
759,composed
764,composed
766,composed
776,composed
779,composed
781,anxious
784,anxious
789,anxious
795,composed
799,composed
805,anxious
806,composed
812,composed
821,anxious
822,anxious
827,composed
834,composed
840,anxious
842,composed
850,composed
853,composed
855,composed
857,composed
858,composed
862,anxious
863,anxious
868,anxious
877,composed
879,composed
882,composed
891,composed
901,composed
913,composed
919,composed
925,composed
926,composed
927,composed
930,composed
936,composed
943,composed
944,composed
947,composed
950,composed
967,anxious
977,anxious
991,composed
996,anxious
999,composed
1003,anxious
1008,composed
1009,composed
1011,composed
1015,composed
1024,anxious
1025,anxious
1032,composed
1034,composed
1043,anxious
1054,composed
1062,composed
1068,composed
1072,composed
1075,composed
1087,composed
1101,composed
1110,composed
1111,anxious
1119,composed
1120,anxious
1121,composed
1143,composed
1149,anxious
1150,anxious
1161,anxious
1162,composed
1170,composed
1175,composed
1192,composed
1199,anxious
1204,anxious
1211,anxious
1224,composed
1227,anxious
1231,composed
1234,anxious
1237,anxious
1238,anxious
1241,composed
1246,composed
1247,anxious
1262,anxious
1263,anxious
1267,composed
1273,anxious
1277,composed
1278,anxious
1291,anxious
1294,anxious
1295,anxious
1304,composed
1318,composed
1338,composed
1344,composed
1354,anxious
1366,anxious
1369,composed
1373,anxious
1376,composed
1380,composed
1388,anxious
1392,anxious
1397,composed
1400,composed
1414,anxious
1420,anxious
1421,composed
1423,composed
1427,composed
1433,composed
1441,anxious
1456,composed
1460,anxious
1461,anxious
1464,anxious
1487,composed
1488,anxious
1496,anxious
1498,anxious
1505,composed
1506,anxious
1507,composed
1508,composed
1518,anxious
1534,composed
1537,composed
1539,composed
1541,composed
1542,anxious
1545,composed
1557,composed
1565,anxious
1567,anxious
1568,anxious
1571,composed
1578,anxious
1583,composed
1584,anxious
1588,composed
1589,composed
1590,composed
1591,anxious
1592,composed
1595,composed
1597,composed
1612,anxious
1613,anxious
1616,composed
1617,composed
1622,composed
1626,anxious
1631,composed
1634,anxious
1638,anxious
1642,anxious
1646,composed
1647,composed
1649,composed
1657,anxious
1659,anxious
1661,composed
1663,composed
1669,composed
1671,anxious
1677,anxious
1689,anxious
1690,anxious
1691,anxious
1692,anxious
1694,composed
1701,composed
1709,anxious
1710,composed
1727,anxious
1733,anxious
1736,composed
1738,anxious
1741,anxious
1749,composed
1756,composed
1770,composed
1771,anxious
1778,anxious
1803,composed
1816,composed
1826,anxious
1829,anxious
1839,anxious
1840,composed
1844,anxious
1846,anxious
1854,anxious
1875,composed
1886,anxious
1888,anxious
1893,composed
1897,anxious
1899,anxious
1900,anxious
1904,composed
1919,composed
1920,anxious
1931,composed
1932,anxious
1935,anxious
1938,composed
1940,composed
1943,anxious
1945,composed
1947,composed
1949,anxious
1956,anxious
1968,anxious
1969,composed
1972,anxious
1977,composed
1978,composed
1984,composed
1988,composed
1992,anxious
1997,composed
2002,composed
2003,anxious
2008,anxious
2015,composed
2026,composed
2030,anxious
2046,composed
2049,anxious
2050,anxious
2051,composed
2061,anxious
2064,composed
2065,anxious
2073,composed
2076,composed
2078,anxious
2081,anxious
2087,composed
2089,anxious
2092,anxious
2101,anxious
2106,anxious
2109,anxious
2111,composed
