target_user_id,label
2,vulgar
19,vulgar
22,vulgar
23,polite
27,polite
30,vulgar
36,polite
39,vulgar
47,vulgar
49,polite
50,polite
55,polite
56,vulgar
60,vulgar
74,vulgar
77,polite
81,vulgar
85,vulgar
87,polite
103,vulgar
113,vulgar
116,polite
130,polite
136,vulgar
137,vulgar
139,polite
140,vulgar
141,vulgar
143,vulgar
144,vulgar
153,polite
162,polite
167,polite
168,polite
171,polite
174,vulgar
182,vulgar
184,polite
186,vulgar
189,vulgar
192,polite
195,polite
196,polite
214,polite
220,polite
222,vulgar
224,polite
233,polite
241,vulgar
245,vulgar
251,polite
254,polite
259,polite
271,polite
275,polite
283,polite
307,polite
309,polite
326,vulgar
338,polite
342,vulgar
343,vulgar
354,polite
360,vulgar
367,vulgar
372,vulgar
374,polite
377,polite
388,polite
403,vulgar
408,polite
419,polite
429,vulgar
441,polite
447,polite
450,vulgar
452,polite
453,polite
454,polite
464,vulgar
465,vulgar
470,vulgar
474,polite
475,polite
476,vulgar
479,polite
485,polite
492,vulgar
497,polite
498,vulgar
499,polite
500,vulgar
506,vulgar
510,polite
517,polite
518,vulgar
539,vulgar
548,vulgar
556,polite
557,vulgar
559,polite
560,vulgar
565,polite
569,vulgar
578,polite
585,polite
589,polite
601,polite
607,vulgar
609,polite
611,polite
615,vulgar
616,polite
618,vulgar
627,polite
642,polite
643,vulgar
646,vulgar
664,vulgar
665,vulgar
675,polite
699,polite
701,polite
704,polite
705,polite
706,vulgar
708,vulgar
709,polite
715,vulgar
723,polite
736,vulgar
744,polite
745,polite
760,polite
771,vulgar
777,polite
780,polite
785,polite
793,polite
795,polite
796,vulgar
810,vulgar
820,vulgar
821,polite
826,vulgar
832,vulgar
834,vulgar
837,polite
853,polite
858,polite
866,polite
874,vulgar
876,vulgar
880,polite
884,polite
886,polite
888,polite
890,polite
898,vulgar
901,polite
903,polite
904,polite
908,vulgar
909,vulgar
916,vulgar
922,polite
926,vulgar
930,polite
940,vulgar
945,vulgar
961,polite
964,vulgar
968,polite
973,polite
974,polite
980,polite
982,polite
995,vulgar
