target_user_id,label
4,rage
14,rage
21,rage
27,rage
28,rage
35,empath
36,rage
40,rage
44,rage
48,rage
56,empath
61,empath
68,rage
78,empath
80,rage
86,rage
93,empath
95,rage
96,empath
98,rage
99,rage
105,rage
113,rage
123,rage
127,rage
129,rage
139,rage
142,rage
148,rage
152,rage
153,rage
162,rage
176,empath
189,rage
190,rage
199,rage
200,rage
201,rage
216,rage
231,rage
233,empath
245,rage
252,empath
264,rage
270,rage
282,rage
283,rage
287,rage
289,rage
293,rage
308,empath
309,empath
314,rage
320,empath
325,rage
328,empath
333,rage
336,rage
352,rage
359,rage
374,rage
375,empath
376,empath
377,rage
378,rage
379,rage
390,rage
391,rage
400,rage
404,rage
406,rage
407,rage
410,rage
413,rage
415,empath
418,rage
429,rage
430,rage
431,rage
434,rage
436,rage
451,rage
454,empath
470,rage
474,rage
481,rage
483,empath
485,rage
486,rage
488,rage
494,rage
495,rage
497,rage
499,rage
520,empath
521,rage
530,rage
532,empath
536,empath
543,rage
546,empath
553,rage
555,rage
560,rage
563,rage
575,rage
585,rage
591,rage
601,rage
602,empath
604,empath
616,empath
633,empath
638,rage
640,empath
643,rage
645,empath
654,rage
661,rage
663,rage
664,rage
669,rage
672,rage
677,rage
689,empath
695,rage
701,empath
704,rage
709,rage
711,rage
714,rage
719,rage
720,rage
722,rage
724,rage
730,empath
737,rage
738,rage
739,rage
740,rage
754,rage
755,rage
756,rage
759,rage
760,rage
765,rage
767,empath
785,empath
786,rage
818,rage
819,rage
827,rage
828,rage
834,rage
837,rage
842,rage
843,rage
849,empath
851,empath
854,rage
855,rage
857,rage
862,rage
864,rage
865,rage
880,rage
881,rage
886,rage
890,rage
902,rage
905,rage
909,rage
927,empath
930,rage
934,rage
937,empath
956,empath
958,empath
966,rage
969,rage
971,rage
974,rage
977,empath
992,rage
993,empath
997,rage
999,empath
1001,rage
1012,empath
1032,rage
1038,rage
1043,empath
1045,rage
1046,rage
1049,empath
1055,rage
1068,rage
1075,rage
1078,rage
1081,rage
1087,rage
1094,empath
1101,rage
1107,empath
1112,rage
1113,rage
1116,empath
1119,rage
1123,rage
1124,empath
1130,empath
1132,rage
1137,rage
1142,rage
1143,rage
1144,rage
1152,rage
1153,rage
1172,rage
1186,rage
1190,empath
1212,empath
1218,rage
1219,empath
1224,rage
1226,empath
1231,rage
1232,rage
1235,rage
1241,empath
1249,empath
1255,empath
1260,rage
1266,empath
1270,rage
