target_user_id,label
5,rage
14,rage
22,rage
26,rage
28,rage
30,rage
35,empath
37,rage
39,rage
53,rage
56,empath
58,rage
63,rage
78,empath
80,rage
83,rage
86,rage
92,empath
95,rage
98,rage
102,empath
103,rage
105,rage
107,rage
113,rage
116,empath
119,rage
127,rage
136,rage
140,rage
145,empath
148,rage
156,rage
162,rage
163,rage
164,rage
167,empath
168,rage
182,rage
188,rage
189,rage
200,rage
201,rage
204,rage
207,rage
216,rage
233,empath
234,rage
235,rage
245,rage
262,empath
265,rage
269,rage
273,rage
278,rage
283,rage
293,rage
294,rage
295,rage
309,empath
314,rage
325,rage
328,empath
333,rage
336,rage
338,rage
352,rage
366,rage
368,rage
374,rage
376,empath
379,rage
385,rage
400,rage
404,rage
421,rage
426,rage
430,rage
432,rage
436,rage
437,empath
442,rage
454,empath
462,rage
465,rage
470,rage
482,rage
485,rage
486,rage
492,rage
495,rage
505,rage
513,rage
520,empath
530,rage
542,rage
543,rage
544,rage
548,rage
553,rage
555,rage
560,rage
564,rage
569,rage
573,rage
594,empath
601,rage
606,rage
616,empath
620,rage
639,rage
645,empath
659,rage
661,rage
663,rage
664,rage
665,rage
667,rage
683,rage
694,rage
701,empath
710,rage
712,empath
714,rage
717,empath
720,rage
738,rage
739,rage
740,rage
754,rage
755,rage
765,rage
773,empath
785,empath
810,rage
820,rage
822,rage
825,rage
834,rage
842,rage
843,rage
857,rage
865,rage
879,empath
880,rage
881,rage
882,empath
883,empath
888,empath
895,rage
901,empath
909,rage
916,rage
926,rage
927,empath
937,empath
942,empath
949,rage
956,empath
958,empath
966,rage
970,empath
971,rage
977,empath
985,rage
986,rage
987,rage
990,rage
993,empath
995,rage
997,rage
999,empath
1004,empath
1005,empath
1012,empath
1025,empath
1032,rage
1038,rage
1040,rage
1043,empath
1044,rage
1045,rage
1046,rage
1055,rage
1063,rage
1064,rage
1066,rage
1070,rage
1075,rage
1078,rage
1079,rage
1081,rage
1086,rage
1090,empath
1094,empath
1106,rage
1107,empath
1114,rage
1115,rage
1116,empath
1124,empath
1132,rage
1139,rage
1160,empath
1172,rage
1178,empath
1203,rage
1218,rage
1232,rage
1235,rage
1237,empath
1241,empath
1249,empath
1261,empath
1266,empath
1272,empath
1273,rage
1287,rage
1289,rage
1305,empath
1308,rage
1312,empath
1323,empath
1327,empath
1328,rage
1358,rage
1379,rage
1383,empath
1384,rage
1386,empath
1390,empath
1392,rage
1395,rage
1396,rage
1399,empath
1401,rage
1421,rage
1433,rage
1435,empath
1438,rage
1439,rage
1440,empath
1441,empath
1447,rage
1455,rage
1456,rage
1459,rage
1470,rage
1476,empath
1479,rage
1484,rage
1493,rage
1499,rage
1500,rage
1513,rage
1527,empath
1539,rage
1542,empath
1546,rage
1547,rage
1548,rage
1556,empath
1565,rage
1567,rage
1579,rage
1589,empath
1592,rage
1614,empath
1626,rage
1627,rage
1628,empath
1629,empath
1631,rage
1634,rage
1638,empath
