target_user_id,label
4,detached
12,detached
14,detached
15,detached
20,warm
25,warm
28,detached
36,detached
40,detached
44,detached
56,warm
58,detached
61,warm
63,detached
73,detached
80,detached
86,detached
91,warm
92,warm
95,detached
96,warm
98,detached
101,warm
102,warm
104,detached
105,detached
108,warm
116,warm
117,detached
119,detached
121,detached
122,detached
126,warm
129,detached
136,detached
141,warm
142,detached
152,detached
153,detached
159,detached
161,detached
163,detached
167,warm
176,warm
189,detached
190,detached
192,warm
195,warm
200,detached
201,detached
206,warm
210,detached
216,detached
217,warm
226,detached
227,warm
234,detached
254,warm
265,detached
268,detached
269,detached
270,detached
278,detached
283,detached
287,detached
291,detached
293,detached
294,detached
297,detached
300,detached
301,warm
308,warm
309,warm
310,detached
333,detached
335,detached
336,detached
344,detached
345,warm
352,detached
355,detached
366,detached
376,warm
378,detached
385,detached
388,detached
390,detached
399,warm
401,warm
404,detached
407,detached
410,detached
419,detached
422,detached
431,detached
432,detached
434,detached
436,detached
454,warm
465,detached
469,detached
470,detached
474,warm
481,detached
483,warm
485,detached
495,detached
497,detached
506,warm
509,detached
510,detached
513,detached
524,detached
525,warm
529,detached
530,detached
542,detached
543,detached
550,detached
555,detached
556,detached
560,detached
561,detached
563,detached
573,detached
574,detached
585,detached
594,warm
595,warm
602,warm
609,detached
615,warm
616,warm
632,detached
633,warm
643,detached
645,warm
651,detached
652,detached
659,detached
661,detached
663,detached
664,detached
673,detached
682,warm
689,warm
700,detached
701,warm
704,detached
707,detached
710,detached
711,detached
714,detached
720,detached
737,detached
738,detached
739,detached
740,detached
744,detached
747,warm
748,detached
751,detached
755,detached
765,detached
773,warm
775,detached
785,warm
786,detached
791,detached
796,detached
804,detached
820,detached
821,warm
825,detached
829,warm
834,detached
836,detached
837,detached
842,detached
843,detached
848,detached
850,detached
857,detached
864,detached
877,detached
879,warm
880,detached
881,detached
883,warm
884,detached
886,detached
888,warm
891,detached
895,detached
899,detached
902,detached
906,detached
920,warm
924,warm
925,detached
927,warm
928,detached
930,detached
933,detached
937,warm
942,warm
945,detached
947,warm
952,detached
