target_user_id,gstat_user_len_mean,gstat_user_sr_max_share,gstat_question_ratio,gstat_caps_ratio,gstat_readability_fk,gstat_link_ratio,gstat_negation_ratio,gstat_subjectivity_ratio,gstat_emoticon_ratio,gstat_contraction_ratio,gstat_avg_word_len,gstat_long_word_ratio,gstat_stopword_ratio,gstat_rep_bigram_ratio,gstat_hour_entropy,gstat_nocturnal_ratio,gstat_circadian_mean,gstat_reply_delay_std
1,-0.265633,-0.24695,0.70013,-0.879546,0.25317,-0.625585,-0.364844,-0.268815,-0.301682,-1.75613,0.159404,0.24083,1.03916,0.0146792,-0.550972,0.627235,0.818598,-1.19216
2,0.179466,-0.224414,-1.18394,0.123103,-0.0494298,-0.768325,-1.27884,0.655331,-0.418993,-1.1273,-0.84508,-0.855438,1.05853,-0.0728944,0.18506,1.20724,-1.433,-0.808413
3,-0.662612,-0.806256,0.490668,0.364972,0.332406,-0.624221,1.21159,0.55879,-0.341361,-0.651105,1.21185,1.08274,-0.903714,-0.79703,-0.738422,-0.182953,0.994811,-0.897523
4,1.1353,-1.05825,1.25425,-0.560419,1.69903,0.587673,-0.312514,-1.06575,-0.27753,-1.42105,2.84053,2.64359,0.355165,0.0990424,-0.339722,-0.90808,0.500494,1.99679
5,-0.751016,-0.697671,0.478473,0.829314,-0.764924,0.444934,0.713922,-0.325983,-0.246477,1.48583,0.850628,0.714493,-0.891805,-1.03246,0.644124,0.183699,0.711524,-0.428047
6,-0.486774,2.18695,1.47591,0.195657,-0.970628,0.944523,0.84107,-0.564496,-0.418993,0.618718,-0.934578,-1.40829,-0.248941,0.0436306,-1.16732,0.900178,0.976112,-1.14224
7,-0.627909,0.0234832,1.25425,-0.398196,-0.525382,-0.340121,1.24227,-0.450161,-0.186097,1.29018,-0.205898,-0.452141,-0.29774,-0.80251,0.709154,-0.293957,-0.904405,-0.92377
8,-0.0115834,-0.964764,0.156598,0.162727,0.252677,-0.0505494,-0.384809,0.352835,-0.118816,0.494858,0.496202,0.701818,0.551117,-0.0469139,-0.122534,0.879772,-1.42385,-0.658478
9,-0.185064,0.699564,-0.518965,-0.0538113,-0.809312,0.016729,0.197762,0.618608,0.139957,1.16255,-0.665116,-0.745365,-0.590382,-0.0104894,1.33984,-0.430425,0.436653,0.748537
10,0.165944,-0.156804,-1.07311,-0.215672,1.40317,-0.696955,-0.453743,-0.360056,-0.372414,0.271665,-0.0391902,-0.0260496,0.351733,0.188055,-0.927313,-1.28338,0.208429,-0.210613
